Cust_No,Target,Birth_Place,Gender,Age,Ast_Curr_Bal,Std_Cred_Limit,Loan_Curr_Bal,ZX_Max_Account_Number,ZX_Max_Link_Banks,ZX_Max_Overdue_Account,ZX_Link_Max_Overdue_Amount,ZX_Total_Overdu_Months,ZX_Max_Overdue_Duration,ZX_Max_Credits,ZX_Max_Credit_Banks,ZX_Max_Overdue_Credits,ZX_Credit_Max_Overdu_Amount,ZX_Credit_Total_Overdue_Months,ZX_Credit_Max_Overdue_Duration
2195,0,330625,0,53,1015.98,20000,0,6,5,0,0,0,0,1,1,0,0,0,0
2196,0,330621,0,46,62.88,20000,0,8,5,1,46,0,0,2,2,1,1419,1,1
2197,0,330621,0,29,8.24,5000,0,4,4,2,3511,13,3,2,2,0,0,0,0
2198,0,330621,1,47,10071.6,20000,0,4,3,1,2649,5,3,3,3,1,6324,0,0
2199,0,332529,1,42,5256.69,20000,300000,3,3,1,63,2,1,3,3,0,0,0,0
2200,0,330621,1,37,72044.21,30000,0,0,0,0,0,0,0,0,0,0,0,0,0
2201,0,330621,1,41,124.68,5000,0,6,4,2,6230,15,3,0,0,0,0,0,0
2202,0,330682,1,39,78823.85,5000,0,6,4,1,118,2,1,1,1,1,9172,8,1
2203,0,330621,1,32,1193.38,10000,100000,5,3,2,2506,6,1,1,1,0,0,0,0
2204,0,330621,1,47,12.63,10000,150000,11,3,0,0,0,0,1,1,0,0,0,0
2205,0,330621,1,44,849.75,10000,100000,3,2,1,326,6,1,2,2,0,0,0,0
2206,0,330621,1,43,24510.17,5000,600000,4,2,1,0,2,1,2,2,0,0,0,0
2207,0,330621,1,56,420.69,10000,0,1,1,1,1167,4,2,0,0,0,0,0,0
2208,0,330621,1,37,23245.26,20000,0,5,4,1,0,1,1,0,0,0,0,0,0
2209,0,330602,1,39,6.23,10000,280000,4,2,1,1376,11,7,2,2,0,0,0,0
2210,0,330621,1,47,4311.23,10000,200000,1,1,1,0,3,1,1,1,0,0,0,0
2211,0,330324,1,39,711.77,20000,3800000,16,7,5,2339,20,1,1,1,0,0,0,0
2212,0,330621,1,50,399.6,5000,5400000,6,4,3,2131,144,3,4,2,0,0,0,0
2213,0,330621,1,30,0.22,5000,0,10,7,0,0,0,0,15,10,0,0,0,0
2214,0,330621,1,38,8149.14,10000,0,1,1,0,0,0,0,0,0,0,0,0,0
2215,1,330621,1,51,624.04,10000,380000,2,2,2,246,18,5,2,2,2,150648,14,4
2216,0,342923,1,41,15954.73,10000,1026827.9,2,2,0,0,0,0,2,1,0,0,0,0
2217,0,330621,1,37,438.97,15000,100000,6,5,2,0,4,1,1,1,0,0,0,0
2218,0,330621,1,37,0,20000,0,5,4,0,0,0,0,2,2,0,0,0,0
2219,0,330621,1,43,11.77,5000,0,10,4,4,162,8,2,2,2,0,0,0,0
2220,0,330621,1,40,84.4,35000,300000,7,5,4,848,5,1,6,6,0,0,0,0
2221,0,330621,1,45,7814.59,5000,720000,0,0,0,0,0,0,1,1,0,0,0,0
2222,0,330621,1,51,15344.76,10000,190000,4,4,1,640,1,1,2,2,1,5198,0,0
